algorithm,solver,time
elo,arena,4.505625984999824
elo,arena,4.30741854200005
elo,arena,3.8287284730004103
elo,arena,3.2124255979997542
elo,arena,3.1871768069995596
elo,arena,4.54556304200014
elo,arena,3.89093991000027
elo,arena,3.2158020300003045
elo,arena,3.2279247070000565
elo,arena,3.690373288999581
bradley_terry,arena,53.84085044400035
bradley_terry,arena,49.05527460100075
bradley_terry,arena,49.824193399999785
bradley_terry,arena,49.06932971599963
bradley_terry,arena,48.84145686500051
bradley_terry,arena,48.852593298999636
bradley_terry,arena,51.96913476999998
bradley_terry,arena,53.00518341099996
bradley_terry,arena,55.14430098199955
bradley_terry,arena,57.280526522999935
elo,evalica,1.2934383190004155
elo,evalica,1.2451738849995309
elo,evalica,1.263170829000046
elo,evalica,1.3015334930005338
elo,evalica,1.2956993719999446
elo,evalica,1.2331900440003665
elo,evalica,1.2465266949993747
elo,evalica,1.240900351000164
elo,evalica,1.2116083800001434
elo,evalica,1.218696920000184
bradley_terry,evalica,1.1849060429995006
bradley_terry,evalica,1.164167107999674
bradley_terry,evalica,1.1925056350000887
bradley_terry,evalica,1.1563715420006702
bradley_terry,evalica,1.196678212999359
bradley_terry,evalica,1.167977401999451
bradley_terry,evalica,1.1835675629999969
bradley_terry,evalica,1.1618928819998473
bradley_terry,evalica,1.1576560439998502
bradley_terry,evalica,1.1638413099999525
