algorithm,scale,i,rows,models,time
counting,0,0,10,18,0.0008130349997372832
average_win_rate,0,0,10,18,0.0002555070004746085
bradley_terry,0,0,10,18,0.0002450259999022819
elo,0,0,10,18,0.000214118999792845
eigen,0,0,10,18,0.00022628300030191895
pagerank,0,0,10,18,0.00025168100000882987
newman,0,0,10,18,0.0007827359986549709
counting,0,1,10,17,0.00023109900030249264
average_win_rate,0,1,10,17,0.00021575400023721159
bradley_terry,0,1,10,17,0.00020374300038383808
elo,0,1,10,17,0.00021200699848122895
eigen,0,1,10,17,0.0002493920001143124
pagerank,0,1,10,17,0.00023909000083222054
newman,0,1,10,17,0.000967486999797984
counting,0,2,10,17,0.00022656200053461362
average_win_rate,0,2,10,17,0.00021195699991949368
bradley_terry,0,2,10,17,0.00019303399858472403
elo,0,2,10,17,0.00020422399938979652
eigen,0,2,10,17,0.00020838299860770348
pagerank,0,2,10,17,0.00021896100042795297
newman,0,2,10,17,0.0007549389993073419
counting,0,3,10,19,0.0002271369994559791
average_win_rate,0,3,10,19,0.0002127110001310939
bradley_terry,0,3,10,19,0.00019752000116568524
elo,0,3,10,19,0.00022941399947740138
eigen,0,3,10,19,0.00023074400087352842
pagerank,0,3,10,19,0.0002257979995192727
newman,0,3,10,19,0.0008825109998724656
counting,0,4,10,16,0.00022896999871591106
average_win_rate,0,4,10,16,0.00021687200023734476
bradley_terry,0,4,10,16,0.00020707899966510013
elo,0,4,10,16,0.00020937899898854084
eigen,0,4,10,16,0.00023925499954202678
pagerank,0,4,10,16,0.000219912000829936
newman,0,4,10,16,0.0006820529997639824
counting,0,5,10,16,0.0002249509998364374
average_win_rate,0,5,10,16,0.0002299349998793332
bradley_terry,0,5,10,16,0.00019448100101726595
elo,0,5,10,16,0.0002018610011873534
eigen,0,5,10,16,0.00023971399969013873
pagerank,0,5,10,16,0.00022934399930818472
newman,0,5,10,16,0.0007149189987103455
counting,0,6,10,17,0.00021645900051225908
average_win_rate,0,6,10,17,0.000208227000257466
bradley_terry,0,6,10,17,0.00018959400040330365
elo,0,6,10,17,0.00019832999896607362
eigen,0,6,10,17,0.00023865100047260057
pagerank,0,6,10,17,0.00022340000032272656
newman,0,6,10,17,0.0007934269997349475
counting,0,7,10,15,0.00023318800049310084
average_win_rate,0,7,10,15,0.00021146200015209615
bradley_terry,0,7,10,15,0.00019569799951568712
elo,0,7,10,15,0.0002047039997705724
eigen,0,7,10,15,0.00024003099861147348
pagerank,0,7,10,15,0.00023652100026083644
newman,0,7,10,15,0.0006783070002711611
counting,0,8,10,17,0.00022049799918022472
average_win_rate,0,8,10,17,0.00021058099991932977
bradley_terry,0,8,10,17,0.0001934019983309554
elo,0,8,10,17,0.00019864599926222581
eigen,0,8,10,17,0.00024108599973260425
pagerank,0,8,10,17,0.00022681999871565495
newman,0,8,10,17,0.0007735649996902794
counting,0,9,10,17,0.00022163300127431285
average_win_rate,0,9,10,17,0.00021161599943297915
bradley_terry,0,9,10,17,0.0001924680000229273
elo,0,9,10,17,0.00019921400053135585
eigen,0,9,10,17,0.00024285899962706026
pagerank,0,9,10,17,0.00023501100076828152
newman,0,9,10,17,0.0007489189993066248
counting,1,0,100,74,0.00030620799952885136
average_win_rate,1,0,100,74,0.0003814190004050033
bradley_terry,1,0,100,74,0.00030165300086082425
elo,1,0,100,74,0.0002721780001593288
eigen,1,0,100,74,0.0004299810007069027
pagerank,1,0,100,74,0.00044431899914343376
newman,1,0,100,74,0.007636578999154153
counting,1,1,100,79,0.000292816001092433
average_win_rate,1,1,100,79,0.00033032300052582286
bradley_terry,1,1,100,79,0.00028794599893444683
elo,1,1,100,79,0.0002661220005393261
eigen,1,1,100,79,0.0004490609990170924
pagerank,1,1,100,79,0.0004485159988689702
newman,1,1,100,79,0.009778125000593718
counting,1,2,100,76,0.0003203209998901002
average_win_rate,1,2,100,76,0.00040047299989964813
bradley_terry,1,2,100,76,0.0002908200003730599
elo,1,2,100,76,0.0002687359992705751
eigen,1,2,100,76,0.0005175170008442365
pagerank,1,2,100,76,0.0004487120004341705
newman,1,2,100,76,0.007054085999698145
counting,1,3,100,76,0.0002908279984694673
average_win_rate,1,3,100,76,0.00031621900052414276
bradley_terry,1,3,100,76,0.00028453600134525914
elo,1,3,100,76,0.0002627770008984953
eigen,1,3,100,76,0.0006107949993747752
pagerank,1,3,100,76,0.0004479929993976839
newman,1,3,100,76,0.007557265000286861
counting,1,4,100,81,0.0002934420008386951
average_win_rate,1,4,100,81,0.00031563899938191753
bradley_terry,1,4,100,81,0.00028770099925168324
elo,1,4,100,81,0.00026809200062416494
eigen,1,4,100,81,0.0005109329995320877
pagerank,1,4,100,81,0.00046362400098587386
newman,1,4,100,81,0.009141975000602542
counting,1,5,100,84,0.0002787400007946417
average_win_rate,1,5,100,84,0.00032620599995425437
bradley_terry,1,5,100,84,0.0002895340003306046
elo,1,5,100,84,0.0002653990013641305
eigen,1,5,100,84,0.00047719099893583916
pagerank,1,5,100,84,0.0005194530003791442
newman,1,5,100,84,0.010597111000606674
counting,1,6,100,76,0.0002742810011113761
average_win_rate,1,6,100,76,0.00030841399893688504
bradley_terry,1,6,100,76,0.0002782299998216331
elo,1,6,100,76,0.0002626820005389163
eigen,1,6,100,76,0.00048205500024778303
pagerank,1,6,100,76,0.0004458429993974278
newman,1,6,100,76,0.00739087500005553
counting,1,7,100,79,0.0002745689998846501
average_win_rate,1,7,100,79,0.00032136499976331834
bradley_terry,1,7,100,79,0.00028206600109115243
elo,1,7,100,79,0.0002631920015119249
eigen,1,7,100,79,0.0005142440004419768
pagerank,1,7,100,79,0.00047578900012013037
newman,1,7,100,79,0.008315376999235013
counting,1,8,100,76,0.00028727399876515847
average_win_rate,1,8,100,76,0.0003117989999736892
bradley_terry,1,8,100,76,0.000283915000181878
elo,1,8,100,76,0.00026839400015887804
eigen,1,8,100,76,0.0005942299994785571
pagerank,1,8,100,76,0.00045901199882791843
newman,1,8,100,76,0.007320709999476094
counting,1,9,100,72,0.00035176300116290804
average_win_rate,1,9,100,72,0.000369478999346029
bradley_terry,1,9,100,72,0.0003871850003633881
elo,1,9,100,72,0.0002823230006470112
eigen,1,9,100,72,0.000438703000327223
pagerank,1,9,100,72,0.0004039089999423595
newman,1,9,100,72,0.008697409999513184
counting,2,0,1000,125,0.0008088259983196622
average_win_rate,2,0,1000,125,0.0009630269996705465
bradley_terry,2,0,1000,125,0.0008351320011570351
elo,2,0,1000,125,0.0008005969993973849
eigen,2,0,1000,125,0.0010372779997851467
pagerank,2,0,1000,125,0.0010815969999384833
newman,2,0,1000,125,0.022542565000549075
counting,2,1,1000,121,0.0008665369987284066
average_win_rate,2,1,1000,121,0.0008893220001482405
bradley_terry,2,1,1000,121,0.0009047420007846085
elo,2,1,1000,121,0.0008183749996533152
eigen,2,1,1000,121,0.0009872540013020625
pagerank,2,1,1000,121,0.0011108260005130433
newman,2,1,1000,121,0.017428160001145443
counting,2,2,1000,125,0.000997974999336293
average_win_rate,2,2,1000,125,0.0009378610011481214
bradley_terry,2,2,1000,125,0.000842120998640894
elo,2,2,1000,125,0.0008023010013857856
eigen,2,2,1000,125,0.000997037999695749
pagerank,2,2,1000,125,0.0009746420000737999
newman,2,2,1000,125,0.017943572000149288
counting,2,3,1000,125,0.0007974579984875163
average_win_rate,2,3,1000,125,0.0009219669991580304
bradley_terry,2,3,1000,125,0.0008377900012419559
elo,2,3,1000,125,0.0008090929986792617
eigen,2,3,1000,125,0.0010267899997415952
pagerank,2,3,1000,125,0.0010596590000204742
newman,2,3,1000,125,0.018462172998624737
counting,2,4,1000,125,0.0007925039990368532
average_win_rate,2,4,1000,125,0.0008871179998095613
bradley_terry,2,4,1000,125,0.0008305339997605188
elo,2,4,1000,125,0.0007950199997139862
eigen,2,4,1000,125,0.0009913630001392448
pagerank,2,4,1000,125,0.000988137999229366
newman,2,4,1000,125,0.018565471000329126
counting,2,5,1000,126,0.0007832179999240907
average_win_rate,2,5,1000,126,0.0009029980010382133
bradley_terry,2,5,1000,126,0.0008357120004802709
elo,2,5,1000,126,0.0008232320014940342
eigen,2,5,1000,126,0.0009980839986383216
pagerank,2,5,1000,126,0.0010529600003792439
newman,2,5,1000,126,0.017678407000857987
counting,2,6,1000,125,0.0007898160001786891
average_win_rate,2,6,1000,125,0.0008822500003589084
bradley_terry,2,6,1000,125,0.0008350650005013449
elo,2,6,1000,125,0.000795198000560049
eigen,2,6,1000,125,0.0010111970004800241
pagerank,2,6,1000,125,0.0009891369991237298
newman,2,6,1000,125,0.016783688000941765
counting,2,7,1000,123,0.0007830499998817686
average_win_rate,2,7,1000,123,0.0008821749997878214
bradley_terry,2,7,1000,123,0.00082825400022557
elo,2,7,1000,123,0.00080576199979987
eigen,2,7,1000,123,0.001001176999125164
pagerank,2,7,1000,123,0.0009734800005389843
newman,2,7,1000,123,0.01650292299927969
counting,2,8,1000,123,0.0007909350006229943
average_win_rate,2,8,1000,123,0.0009127470002567861
bradley_terry,2,8,1000,123,0.0008258249999926193
elo,2,8,1000,123,0.0008009169996512355
eigen,2,8,1000,123,0.0009827560006669955
pagerank,2,8,1000,123,0.000974902999587357
newman,2,8,1000,123,0.016843485000208602
counting,2,9,1000,125,0.000776607999796397
average_win_rate,2,9,1000,125,0.0008812329997454071
bradley_terry,2,9,1000,125,0.0008380740000575315
elo,2,9,1000,125,0.0007988679990376113
eigen,2,9,1000,125,0.0009939809988281922
pagerank,2,9,1000,125,0.0011957259994233027
newman,2,9,1000,125,0.018085023999447003
counting,3,0,10000,129,0.0057418010001129005
average_win_rate,3,0,10000,129,0.006166844999825116
bradley_terry,3,0,10000,129,0.006473531000665389
elo,3,0,10000,129,0.006075818999306648
eigen,3,0,10000,129,0.00588061700000253
pagerank,3,0,10000,129,0.005920514000536059
newman,3,0,10000,129,0.022724153999661212
counting,3,1,10000,129,0.005780962999779149
average_win_rate,3,1,10000,129,0.006237325000256533
bradley_terry,3,1,10000,129,0.006568071999936365
elo,3,1,10000,129,0.006252903000131482
eigen,3,1,10000,129,0.006034148998878663
pagerank,3,1,10000,129,0.0060988539989921264
newman,3,1,10000,129,0.022733256000719848
counting,3,2,10000,129,0.00573428600000625
average_win_rate,3,2,10000,129,0.005961954000667902
bradley_terry,3,2,10000,129,0.006385779999618535
elo,3,2,10000,129,0.006188983999891207
eigen,3,2,10000,129,0.005928496000706218
pagerank,3,2,10000,129,0.0061022620011499384
newman,3,2,10000,129,0.021870090000447817
counting,3,3,10000,129,0.006096958999478375
average_win_rate,3,3,10000,129,0.006036082999344217
bradley_terry,3,3,10000,129,0.006411919999663951
elo,3,3,10000,129,0.006224486000064644
eigen,3,3,10000,129,0.006337910999718588
pagerank,3,3,10000,129,0.0060976679997111205
newman,3,3,10000,129,0.02208950899876072
counting,3,4,10000,129,0.005711325999072869
average_win_rate,3,4,10000,129,0.00617306400090456
bradley_terry,3,4,10000,129,0.006570589999682852
elo,3,4,10000,129,0.0061623940000572475
eigen,3,4,10000,129,0.005996110001433408
pagerank,3,4,10000,129,0.005996592000883538
newman,3,4,10000,129,0.02256213399959961
counting,3,5,10000,129,0.005701907000911888
average_win_rate,3,5,10000,129,0.00593840700094006
bradley_terry,3,5,10000,129,0.006421697000405402
elo,3,5,10000,129,0.006142845999420388
eigen,3,5,10000,129,0.006037314999048249
pagerank,3,5,10000,129,0.005979816000035498
newman,3,5,10000,129,0.02260012900114816
counting,3,6,10000,128,0.005801998999231728
average_win_rate,3,6,10000,128,0.006050506999599747
bradley_terry,3,6,10000,128,0.006604708998565911
elo,3,6,10000,128,0.006155007000415935
eigen,3,6,10000,128,0.0060436160001700046
pagerank,3,6,10000,128,0.005992581000100472
newman,3,6,10000,128,0.022780590999900596
counting,3,7,10000,129,0.005735435001042788
average_win_rate,3,7,10000,129,0.005850155999723938
bradley_terry,3,7,10000,129,0.006509283999548643
elo,3,7,10000,129,0.006142328998976154
eigen,3,7,10000,129,0.006004048000249895
pagerank,3,7,10000,129,0.006132489999799873
newman,3,7,10000,129,0.026188362999164383
counting,3,8,10000,129,0.005722198999137618
average_win_rate,3,8,10000,129,0.006097378000049503
bradley_terry,3,8,10000,129,0.006650044999332749
elo,3,8,10000,129,0.006111233000410721
eigen,3,8,10000,129,0.005983775001368485
