algorithm,item,score
bradley_terry,GPT 4,0.04104860014315888
bradley_terry,Platypus-2 Instruct (70B),0.029227099850951947
bradley_terry,command,0.028848289020818423
bradley_terry,ReMM SLERP L2 13B,0.027150807240941256
bradley_terry,LLaMA-2-Chat (70B),0.026390797559554195
bradley_terry,Claude v1,0.026259838412322153
bradley_terry,GPT 3.5 Turbo,0.02587252436089493
bradley_terry,Jurassic 2 Mid,0.025850419980172547
bradley_terry,Jurassic 2 Ultra,0.025312139377209036
bradley_terry,command-nightly,0.025230155788111195
bradley_terry,Mythalion 13B,0.024035214562952517
bradley_terry,GPT 3.5 Turbo (16k),0.02398658189493495
bradley_terry,Falcon Instruct (40B),0.023754965322296206
bradley_terry,GPT-NeoXT-Chat-Base (20B),0.023271646483825806
bradley_terry,Chronos Hermes (13B),0.023232635665088135
bradley_terry,Claude v2,0.022929864161743255
bradley_terry,Claude Instant v1,0.022813905523668097
bradley_terry,MPT-Chat (7B),0.022217869853866607
bradley_terry,LLaMA-2-Chat (7B),0.021366514804341954
bradley_terry,LLaMA 2 SFT v10 (70B),0.020699463606947868
bradley_terry,Claude v1.2,0.01984863898560181
bradley_terry,Guanaco (65B),0.018090012632772358
bradley_terry,Pythia-Chat-Base (7B),0.01783179754398227
bradley_terry,MythoMax-L2 (13B),0.01750681546246339
bradley_terry,PaLM 2 Bison (Code Chat),0.017399405879928567
bradley_terry,LLaMA-2-Chat (13B),0.017353750843523863
bradley_terry,Guanaco (13B),0.017323412880112913
bradley_terry,Alpaca (7B),0.01657913181400528
bradley_terry,Luminous Supreme Control,0.016545275568387745
bradley_terry,Guanaco (33B),0.016507587625271363
bradley_terry,Vicuna v1.5 (13B),0.016461685556060156
bradley_terry,Jurassic 2 Light,0.015637863016292396
bradley_terry,Luminous Base Control,0.015559776782608097
bradley_terry,Qwen-Chat (7B),0.015491156802904122
bradley_terry,MPT-Chat (30B),0.015335804113576441
bradley_terry,Vicuna v1.3 (13B),0.015281723474040389
bradley_terry,RedPajama-INCITE Chat (7B),0.014455627533089809
bradley_terry,Falcon Instruct (7B),0.01365743030312935
bradley_terry,command-light,0.013633492897776026
bradley_terry,Luminous Extended Control,0.013158480322687174
bradley_terry,Vicuna v1.3 (7B),0.011943396782130276
bradley_terry,Weaver 12k,0.011846130967959743
bradley_terry,PaLM 2 Bison,0.01122437533095092
bradley_terry,Luminous Base,0.01040769433605218
bradley_terry,RedPajama-INCITE Chat (3B),0.010150107206917945
bradley_terry,Code Llama Instruct (34B),0.010098212788611378
bradley_terry,Code Llama Instruct (13B),0.010001063722126002
bradley_terry,Airoboros L2 70B,0.009755464481229817
bradley_terry,Dolly v2 (12B),0.009162903109759927
bradley_terry,StarCoderChat Alpha (16B),0.008509361157648417
bradley_terry,Open-Assistant Pythia SFT-4 (12B),0.008372904772195142
bradley_terry,Luminous Extended,0.008073500185897059
bradley_terry,Luminous Supreme,0.00723814545426995
