id,prompt,model_x,model_y,worker,winner,left,right
0,8,97,98,58,tie,Airoboros L2 70B,Weaver 12k
0,8,97,98,83,tie,Airoboros L2 70B,Weaver 12k
0,8,97,98,14,right,Airoboros L2 70B,Weaver 12k
0,8,97,98,116,right,Airoboros L2 70B,Weaver 12k
1,8,29,98,90,right,Alpaca (7B),Weaver 12k
1,8,29,98,88,right,Alpaca (7B),Weaver 12k
1,8,29,98,105,left,Alpaca (7B),Weaver 12k
1,8,29,98,73,right,Alpaca (7B),Weaver 12k
1,8,29,98,122,right,Alpaca (7B),Weaver 12k
2,8,98,5,64,tie,Weaver 12k,Chronos Hermes (13B)
2,8,98,5,0,left,Weaver 12k,Chronos Hermes (13B)
2,8,98,5,85,left,Weaver 12k,Chronos Hermes (13B)
2,8,98,5,82,tie,Weaver 12k,Chronos Hermes (13B)
2,8,98,5,46,left,Weaver 12k,Chronos Hermes (13B)
3,8,83,98,40,tie,Claude Instant v1,Weaver 12k
3,8,83,98,97,left,Claude Instant v1,Weaver 12k
3,8,83,98,15,right,Claude Instant v1,Weaver 12k
4,8,101,98,64,tie,Claude v1,Weaver 12k
4,8,101,98,0,right,Claude v1,Weaver 12k
4,8,101,98,46,left,Claude v1,Weaver 12k
4,8,101,98,44,left,Claude v1,Weaver 12k
4,8,101,98,85,right,Claude v1,Weaver 12k
5,8,100,98,44,left,Claude v1.2,Weaver 12k
5,8,100,98,66,right,Claude v1.2,Weaver 12k
5,8,100,98,41,left,Claude v1.2,Weaver 12k
5,8,100,98,9,left,Claude v1.2,Weaver 12k
5,8,100,98,20,right,Claude v1.2,Weaver 12k
6,8,84,98,20,right,Claude v2,Weaver 12k
6,8,84,98,91,right,Claude v2,Weaver 12k
6,8,84,98,67,left,Claude v2,Weaver 12k
6,8,84,98,98,right,Claude v2,Weaver 12k
7,8,19,98,60,left,Code Llama Instruct (13B),Weaver 12k
7,8,19,98,3,right,Code Llama Instruct (13B),Weaver 12k
7,8,19,98,41,tie,Code Llama Instruct (13B),Weaver 12k
7,8,19,98,117,right,Code Llama Instruct (13B),Weaver 12k
7,8,19,98,20,right,Code Llama Instruct (13B),Weaver 12k
8,8,20,98,42,right,Code Llama Instruct (34B),Weaver 12k
8,8,20,98,77,right,Code Llama Instruct (34B),Weaver 12k
8,8,20,98,20,right,Code Llama Instruct (34B),Weaver 12k
8,8,20,98,41,tie,Code Llama Instruct (34B),Weaver 12k
8,8,20,98,67,right,Code Llama Instruct (34B),Weaver 12k
9,8,98,18,92,left,Weaver 12k,Code Llama Instruct (7B)
9,8,98,18,97,left,Weaver 12k,Code Llama Instruct (7B)
9,8,98,18,49,left,Weaver 12k,Code Llama Instruct (7B)
9,8,98,18,70,left,Weaver 12k,Code Llama Instruct (7B)
10,8,98,9,6,left,Weaver 12k,Dolly v2 (12B)
10,8,98,9,89,left,Weaver 12k,Dolly v2 (12B)
10,8,98,9,107,left,Weaver 12k,Dolly v2 (12B)
11,8,7,98,12,right,Dolly v2 (3B),Weaver 12k
11,8,7,98,91,right,Dolly v2 (3B),Weaver 12k
11,8,7,98,20,right,Dolly v2 (3B),Weaver 12k
11,8,7,98,67,right,Dolly v2 (3B),Weaver 12k
11,8,7,98,48,right,Dolly v2 (3B),Weaver 12k
12,8,98,8,42,left,Weaver 12k,Dolly v2 (7B)
12,8,98,8,41,tie,Weaver 12k,Dolly v2 (7B)
12,8,98,8,67,left,Weaver 12k,Dolly v2 (7B)
12,8,98,8,82,left,Weaver 12k,Dolly v2 (7B)
12,8,98,8,44,left,Weaver 12k,Dolly v2 (7B)
13,8,98,30,87,right,Weaver 12k,Falcon Instruct (7B)
13,8,98,30,107,tie,Weaver 12k,Falcon Instruct (7B)
13,8,98,30,36,left,Weaver 12k,Falcon Instruct (7B)
13,8,98,30,85,left,Weaver 12k,Falcon Instruct (7B)
13,8,98,30,97,tie,Weaver 12k,Falcon Instruct (7B)
14,8,81,98,89,left,GPT 3.5 Turbo,Weaver 12k
14,8,81,98,11,right,GPT 3.5 Turbo,Weaver 12k
14,8,81,98,47,tie,GPT 3.5 Turbo,Weaver 12k
15,8,98,82,14,right,Weaver 12k,GPT 3.5 Turbo (16k)
15,8,98,82,58,right,Weaver 12k,GPT 3.5 Turbo (16k)
15,8,98,82,15,left,Weaver 12k,GPT 3.5 Turbo (16k)
15,8,98,82,116,left,Weaver 12k,GPT 3.5 Turbo (16k)
15,8,98,82,83,right,Weaver 12k,GPT 3.5 Turbo (16k)
16,8,80,98,14,left,GPT 4,Weaver 12k
16,8,80,98,110,right,GPT 4,Weaver 12k
16,8,80,98,40,tie,GPT 4,Weaver 12k
17,8,98,4,38,tie,Weaver 12k,GPT-NeoXT-Chat-Base (20B)
17,8,98,4,20,right,Weaver 12k,GPT-NeoXT-Chat-Base (20B)
17,8,98,4,106,right,Weaver 12k,GPT-NeoXT-Chat-Base (20B)
17,8,98,4,107,tie,Weaver 12k,GPT-NeoXT-Chat-Base (20B)
18,8,98,32,13,left,Weaver 12k,Guanaco (13B)
18,8,98,32,43,tie,Weaver 12k,Guanaco (13B)
18,8,98,32,33,left,Weaver 12k,Guanaco (13B)
19,8,33,98,4,tie,Guanaco (33B),Weaver 12k
19,8,33,98,58,right,Guanaco (33B),Weaver 12k
19,8,33,98,47,tie,Guanaco (33B),Weaver 12k
19,8,33,98,89,right,Guanaco (33B),Weaver 12k
19,8,33,98,11,right,Guanaco (33B),Weaver 12k
20,8,34,98,49,left,Guanaco (65B),Weaver 12k
20,8,34,98,97,tie,Guanaco (65B),Weaver 12k
21,8,98,86,3,left,Weaver 12k,Jurassic 2 Mid
21,8,98,86,117,right,Weaver 12k,Jurassic 2 Mid
21,8,98,86,41,tie,Weaver 12k,Jurassic 2 Mid
