algorithm,item,score
average_win_rate,3,0.7708333333333334
average_win_rate,4,0.6388888888888888
average_win_rate,1,0.5
average_win_rate,2,0.4375
average_win_rate,0,0.1875
bradley_terry,4,0.34947527489923
bradley_terry,3,0.33688868041573855
bradley_terry,2,0.13168568070110523
bradley_terry,1,0.1311506914535368
bradley_terry,0,0.050799672530389396
counting,3,4.5
counting,4,4.0
counting,1,3.0
counting,2,3.0
counting,0,1.5
eigen,0,0.6955953825629274
eigen,2,0.41958162945500665
eigen,1,0.41775362411253586
eigen,4,0.2946746755941242
eigen,3,0.2806190746997715
elo,4,1004.0562423948679
elo,3,1003.8861974411536
elo,2,999.9773072285024
elo,1,999.9771705955386
elo,0,992.1030823399375
newman,4,13.03674474236858
newman,3,12.805770244756038
newman,2,0.4814190342801864
newman,1,0.4802400245305803
newman,0,0.017973592758248474
pagerank,3,0.2779483968089381
pagerank,4,0.2727975194456537
pagerank,2,0.16240277665024722
pagerank,1,0.154050897098547
pagerank,0,0.13280040999661394
